column,non_missing,missing,missing_rate
单产,330,0,0.0
NDVI_m4,320,10,0.030303030303030304
NDVI_m5,320,10,0.030303030303030304
NDVI_m6,320,10,0.030303030303030304
NDVI_m7,320,10,0.030303030303030304
NDVI_m8,320,10,0.030303030303030304
NDVI_m9,320,10,0.030303030303030304
NDVI_m10,320,10,0.030303030303030304
NDVI_mean,320,10,0.030303030303030304
NDVI_max,320,10,0.030303030303030304
NDVI_min,320,10,0.030303030303030304
NDVI_std,320,10,0.030303030303030304
NDVI_peak_month,320,10,0.030303030303030304
EVI_m4,320,10,0.030303030303030304
EVI_m5,320,10,0.030303030303030304
EVI_m6,320,10,0.030303030303030304
EVI_m7,320,10,0.030303030303030304
EVI_m8,320,10,0.030303030303030304
EVI_m9,320,10,0.030303030303030304
EVI_m10,320,10,0.030303030303030304
EVI_mean,320,10,0.030303030303030304
EVI_max,320,10,0.030303030303030304
EVI_min,320,10,0.030303030303030304
EVI_std,320,10,0.030303030303030304
EVI_peak_month,320,10,0.030303030303030304
LST_m4,330,0,0.0
LST_m5,330,0,0.0
LST_m6,330,0,0.0
LST_m7,330,0,0.0
LST_m8,330,0,0.0
LST_m9,330,0,0.0
LST_m10,330,0,0.0
LST_mean,330,0,0.0
LST_max,330,0,0.0
LST_min,330,0,0.0
LST_std,330,0,0.0
LST_peak_month,330,0,0.0
GPP_m4,330,0,0.0
GPP_m5,330,0,0.0
GPP_m6,330,0,0.0
GPP_m7,330,0,0.0
GPP_m8,330,0,0.0
GPP_m9,330,0,0.0
GPP_m10,330,0,0.0
GPP_mean,330,0,0.0
GPP_max,330,0,0.0
GPP_min,330,0,0.0
GPP_std,330,0,0.0
GPP_peak_month,330,0,0.0
气温_m4,330,0,0.0
气温_m5,330,0,0.0
气温_m6,330,0,0.0
气温_m7,330,0,0.0
气温_m8,330,0,0.0
气温_m9,330,0,0.0
气温_m10,330,0,0.0
气温_mean,330,0,0.0
气温_max,330,0,0.0
气温_min,330,0,0.0
气温_std,330,0,0.0
气温_peak_month,330,0,0.0
降水_m4,330,0,0.0
降水_m5,330,0,0.0
降水_m6,330,0,0.0
降水_m7,330,0,0.0
降水_m8,330,0,0.0
降水_m9,330,0,0.0
降水_m10,330,0,0.0
降水_mean,330,0,0.0
降水_max,330,0,0.0
降水_min,330,0,0.0
降水_std,330,0,0.0
降水_peak_month,330,0,0.0
辐射_m4,330,0,0.0
辐射_m5,330,0,0.0
辐射_m6,330,0,0.0
辐射_m7,330,0,0.0
辐射_m8,330,0,0.0
辐射_m9,330,0,0.0
辐射_m10,330,0,0.0
辐射_mean,330,0,0.0
辐射_max,330,0,0.0
辐射_min,330,0,0.0
辐射_std,330,0,0.0
辐射_peak_month,330,0,0.0
DEM_Mean_m4,330,0,0.0
DEM_Mean_m5,330,0,0.0
DEM_Mean_m6,330,0,0.0
DEM_Mean_m7,330,0,0.0
DEM_Mean_m8,330,0,0.0
DEM_Mean_m9,330,0,0.0
DEM_Mean_m10,330,0,0.0
DEM_Mean_mean,330,0,0.0
DEM_Mean_max,330,0,0.0
DEM_Mean_min,330,0,0.0
DEM_Mean_std,330,0,0.0
DEM_Mean_peak_month,330,0,0.0
DEM_Std_m4,330,0,0.0
DEM_Std_m5,330,0,0.0
DEM_Std_m6,330,0,0.0
DEM_Std_m7,330,0,0.0
DEM_Std_m8,330,0,0.0
DEM_Std_m9,330,0,0.0
DEM_Std_m10,330,0,0.0
DEM_Std_mean,330,0,0.0
DEM_Std_max,330,0,0.0
DEM_Std_min,330,0,0.0
DEM_Std_std,330,0,0.0
DEM_Std_peak_month,330,0,0.0
GPP_sum,330,0,0.0
降水_sum,330,0,0.0
辐射_sum,330,0,0.0
气温_sum,330,0,0.0
Growing_Degree_Days,330,0,0.0
rice_sown_area,330,0,0.0
multiple_cropping_index,200,130,0.3939393939393939
early_rice_share,200,130,0.3939393939393939
middle_rice_share,200,130,0.3939393939393939
late_rice_share,200,130,0.3939393939393939
high_temp_days,330,0,0.0
max_consecutive_precip_days,330,0,0.0
drought_days,330,0,0.0
heading_grain_filling_heat_days,330,0,0.0
glorice_rice_harvested_area,200,130,0.3939393939393939
glorice_rice_physical_area,200,130,0.3939393939393939
glorice_multiple_cropping_index,200,130,0.3939393939393939
glorice_grid_cell_count,200,130,0.3939393939393939
tmax_mean_apr_oct,330,0,0.0
tmax_max_apr_oct,330,0,0.0
precip_sum_apr_oct,330,0,0.0
soil_type,200,130,0.3939393939393939
soil_organic_matter,200,130,0.3939393939393939
slope_mean,200,130,0.3939393939393939
irrigation_condition,200,130,0.3939393939393939
effective_irrigated_area,200,130,0.3939393939393939
sand_0_30cm_pct,200,130,0.3939393939393939
silt_0_30cm_pct,200,130,0.3939393939393939
clay_0_30cm_pct,200,130,0.3939393939393939
