county,year
临湘市,2021
武陵区,2016
松滋市,2021
华容县,2018
岳阳县,2016
岳阳楼区,2013
安化县,2016
赫山区,2013
赫山区,2018
沙市区,2021
汉寿县,2017
赫山区,2021
安乡县,2015
南县,2017
监利市,2012
松滋市,2019
望城区,2016
鼎城区,2019
安化县,2014
汉寿县,2019
临湘市,2017
华容县,2014
平江县,2021
资阳区,2018
云溪区,2017
平江县,2012
石首市,2021
澧县,2018
石门县,2020
洪湖市,2019
监利市,2014
荆州区,2019
沙市区,2012
洪湖市,2014
石门县,2014
赫山区,2012
江陵县,2014
南县,2019
公安县,2015
君山区,2015
武陵区,2020
荆州区,2020
汉寿县,2018
平江县,2013
石门县,2013
华容县,2017
津市市,2014
资阳区,2021
桃江县,2012
桃江县,2019
岳阳县,2012
临澧县,2018
安乡县,2020
桃江县,2016
临湘市,2019
安乡县,2019
桃江县,2017
荆州区,2016
荆州区,2012
武陵区,2015
临湘市,2015
汉寿县,2015
汉寿县,2014
澧县,2012
君山区,2012
石门县,2017
安乡县,2017
江陵县,2016
临澧县,2019
云溪区,2016
江陵县,2012
平江县,2020
洪湖市,2013
安乡县,2018
岳阳楼区,2020
沅江市,2021
松滋市,2014
平江县,2015
鼎城区,2014
望城区,2018
赫山区,2017
平江县,2016
澧县,2015
公安县,2013
津市市,2015
汨罗市,2018
桃源县,2014
津市市,2019
岳阳楼区,2021
桃江县,2015
南县,2021
平江县,2018
临澧县,2017
临湘市,2018
沅江市,2015
岳阳县,2015
公安县,2012
云溪区,2014
石首市,2013
