county,year
鼎城区,2015
公安县,2018
汉寿县,2021
洪湖市,2016
桃江县,2014
桃源县,2013
汨罗市,2014
汨罗市,2016
安乡县,2021
平江县,2017
监利市,2015
南县,2016
岳阳楼区,2016
沙市区,2015
岳阳县,2018
鼎城区,2012
江陵县,2015
云溪区,2021
津市市,2012
平江县,2014
石首市,2015
临湘市,2016
石门县,2015
沅江市,2020
湘阴县,2017
鼎城区,2016
石门县,2019
赫山区,2015
鼎城区,2017
洪湖市,2021
安乡县,2014
石门县,2021
岳阳楼区,2018
资阳区,2012
安乡县,2012
望城区,2021
鼎城区,2018
安化县,2012
安化县,2015
安化县,2018
松滋市,2013
望城区,2014
岳阳楼区,2019
云溪区,2019
桃源县,2020
石门县,2018
监利市,2021
临澧县,2016
澧县,2017
津市市,2013
石门县,2016
湘阴县,2016
岳阳县,2017
洪湖市,2020
洪湖市,2015
洪湖市,2018
桃源县,2021
君山区,2017
资阳区,2015
望城区,2020
汨罗市,2021
君山区,2019
华容县,2021
荆州区,2021
武陵区,2017
岳阳县,2021
沅江市,2017
云溪区,2015
桃源县,2015
云溪区,2012
南县,2015
安化县,2013
沅江市,2014
公安县,2014
安化县,2019
沙市区,2016
荆州区,2013
沙市区,2013
汉寿县,2013
君山区,2020
石首市,2019
江陵县,2013
华容县,2019
华容县,2020
沅江市,2013
望城区,2012
沙市区,2019
桃源县,2016
石首市,2012
君山区,2014
汨罗市,2015
岳阳县,2020
岳阳县,2014
资阳区,2014
沙市区,2014
松滋市,2015
望城区,2017
安化县,2020
桃江县,2020
汉寿县,2012
湘阴县,2013
汨罗市,2017
石首市,2014
南县,2020
临澧县,2012
安化县,2021
石首市,2020
沅江市,2012
洪湖市,2017
汨罗市,2012
汨罗市,2013
桃源县,2017
沙市区,2018
江陵县,2017
公安县,2019
监利市,2019
桃江县,2013
临澧县,2014
华容县,2016
江陵县,2019
澧县,2014
澧县,2016
公安县,2021
澧县,2020
资阳区,2017
赫山区,2019
临澧县,2013
沅江市,2016
沅江市,2019
石首市,2018
汉寿县,2016
荆州区,2017
鼎城区,2021
武陵区,2012
沅江市,2018
汨罗市,2020
松滋市,2018
监利市,2018
武陵区,2013
鼎城区,2020
监利市,2016
安乡县,2013
桃江县,2021
澧县,2013
平江县,2019
津市市,2016
江陵县,2018
临澧县,2021
汨罗市,2019
华容县,2012
望城区,2013
岳阳县,2013
临澧县,2015
湘阴县,2012
石首市,2017
君山区,2016
资阳区,2020
南县,2018
公安县,2020
沙市区,2017
荆州区,2014
资阳区,2019
望城区,2015
南县,2013
岳阳楼区,2012
安化县,2017
江陵县,2021
安乡县,2016
荆州区,2015
云溪区,2013
岳阳楼区,2015
岳阳楼区,2014
湘阴县,2018
南县,2014
监利市,2013
赫山区,2016
武陵区,2019
公安县,2017
岳阳楼区,2017
汉寿县,2020
